id,title,description,level,credits,start_date,end_date,teacher_id
1,Introduction to SQL #1,There institution actually blood herself. Prove customer seek. Worker raise chair artist.,Intermediate,4,2025-06-27,2025-07-31,26
2,Data Engineering Pipelines #2,Send allow sport bill test. Ten score night down six sometimes explain.,Intermediate,3,2023-05-15,2023-06-22,6
3,Data Engineering Pipelines #3,Hold what wish fine need actually.,Advanced,5,2024-10-27,2024-12-20,18
4,Data Visualization with Python #4,Per sit thank stop treatment. Sense national owner simply who family.,Advanced,4,2025-11-01,2026-01-08,39
5,Introduction to SQL #5,Cost community message help. Evidence enough claim suffer accept letter.,Beginner,5,2024-03-16,2024-05-12,28
6,Docker & Containers #6,Child follow anything. Past product make of group six fish detail.,Beginner,4,2025-07-17,2025-09-10,29
7,Introduction to SQL #7,Attention measure indeed Mr begin determine degree. Former family wear peace little no.,Advanced,4,2025-05-24,2025-07-13,27
8,Web Development with Flask #8,Protect knowledge toward party.,Intermediate,5,2025-08-29,2025-10-02,17
9,Introduction to SQL #9,Where radio fly trouble war. Either rich agency might side method. Knowledge analysis together court message way cold. Mouth phone decision picture defense rate structure.,Beginner,4,2023-07-17,2023-10-02,6
10,Object-Oriented Programming #10,Stock these scientist itself stage authority rather. Learn forward beautiful.,Beginner,3,2024-11-06,2025-01-17,24
11,Linux for Developers #11,Some newspaper offer direction.,Intermediate,5,2025-05-16,2025-08-09,8
12,Data Engineering Pipelines #12,Hold picture item admit pull movement. As second animal summer group me face rate.,Intermediate,4,2024-12-21,2025-01-26,4
13,Machine Learning Basics #13,Example unit high state. Listen mouth carry. Someone support far plant fear thought. Whatever action themselves center among of.,Advanced,3,2025-09-14,2025-10-28,37
14,Object-Oriented Programming #14,Natural be decide scientist rise deep town. Central contain pattern education boy provide note. Surface usually yes.,Intermediate,4,2023-08-24,2023-11-10,7
15,Machine Learning Basics #15,Available public economy culture oil week ground. Beyond people too fish late. Process really charge note space when collection finish.,Advanced,4,2023-02-23,2023-05-02,18
16,Web Development with Flask #16,Everybody growth quickly former lose knowledge. Main board population bank exactly.,Beginner,4,2024-09-24,2024-12-21,18
17,Python for Data Analysis #17,Cultural safe phone road throughout support place. Often shoulder defense already end thus music president.,Intermediate,3,2023-10-21,2023-12-26,22
18,Web Development with Flask #18,Hotel through operation tax card may. However maybe production summer.,Beginner,5,2023-03-04,2023-04-08,26
19,Docker & Containers #19,Serious cell city not. Process whose save low grow despite maintain. Enough doctor protect military. Hold truth thing always possible billion.,Beginner,4,2025-07-18,2025-09-07,34
20,Data Visualization with Python #20,Strong enjoy name community president. Onto together back edge win development. Good test main lot page maybe.,Intermediate,5,2024-10-26,2025-01-13,11
21,Introduction to SQL #21,Close baby poor deep cost gun. Produce increase form box.,Advanced,3,2023-11-15,2023-12-25,37
22,Introduction to SQL #22,Decision claim street against amount of claim. Mention three chair coach two might if wide. These road start.,Beginner,4,2025-06-26,2025-09-06,40
23,Data Engineering Pipelines #23,Last yeah test color store. Central old should perhaps member cold rate two.,Intermediate,4,2025-04-28,2025-06-14,28
24,Introduction to SQL #24,Attention her car admit mission training range step. Benefit live pass although six me brother lot. Top much ability visit. Miss have analysis morning director sort.,Advanced,4,2025-05-30,2025-07-06,14
25,Data Engineering Pipelines #25,Open scientist seven recent best care. She travel base our myself election accept. Official brother according.,Advanced,4,2025-12-15,2026-02-25,19
26,Machine Learning Basics #26,Impact blood international one end movie. Hand every quite sense including six lot.,Beginner,4,2023-04-23,2023-05-23,20
27,Machine Learning Basics #27,Never effect fill general relationship save talk. Security land record class. Meet skill song pass range.,Intermediate,3,2024-06-07,2024-07-25,14
28,Python for Data Analysis #28,Home player source statement.,Beginner,4,2025-05-31,2025-07-11,21
29,Object-Oriented Programming #29,Itself ask develop bag also his worker pass. Expert white arm similar compare manager action. Experience almost outside middle discuss college already.,Intermediate,5,2024-04-16,2024-06-17,9
30,Linux for Developers #30,Wish beautiful every. Good house only military say attention.,Advanced,3,2025-03-24,2025-06-17,36
31,Python for Data Analysis #31,Expect stop trip give white everybody paper. Lawyer identify above company media.,Intermediate,4,2023-06-09,2023-09-02,3
32,Docker & Containers #32,Me future bring message. Then spend offer reason whom. Low during fund simply race to television.,Advanced,5,2025-04-08,2025-06-22,21
33,Introduction to SQL #33,Election him small detail. Son include good movie red. Eat behavior purpose start away.,Intermediate,4,2023-02-12,2023-04-03,27
34,Cloud Fundamentals #34,Finish despite off consumer second us couple. Dog drug enter director strong.,Advanced,5,2025-01-11,2025-02-15,11
35,Machine Learning Basics #35,Choose blood turn put professional pass. When summer he firm together thing off. Make worker trouble exactly develop. Campaign moment institution vote allow girl team.,Beginner,4,2025-03-31,2025-06-02,28
36,Data Visualization with Python #36,With recently least ready activity decision ok. Gun technology cost enjoy especially when.,Intermediate,5,2024-11-26,2025-01-09,6
37,Introduction to SQL #37,Contain interest industry sell half hundred. Conference capital office direction between establish dog. Task cultural son school list act.,Beginner,5,2023-08-22,2023-10-24,22
38,Linux for Developers #38,Care throw piece move firm main economy. Answer between clear democratic effect stuff benefit. Employee growth newspaper special general in.,Beginner,4,2023-10-30,2023-12-14,33
39,Data Visualization with Python #39,Current office power company sister great pull maintain. Threat high expert place certain cold space. Instead partner if trade bad gas.,Beginner,3,2023-12-22,2024-02-28,7
40,Introduction to SQL #40,President report painting house thought sit. Security minute late cold take by. Product wait red bag cold.,Advanced,3,2025-10-08,2025-12-06,10
41,Cloud Fundamentals #41,As these nature ago. Model you billion peace base use.,Advanced,5,2024-10-23,2025-01-16,37
42,Cloud Fundamentals #42,Director scene kitchen call money. Agreement professional team foot. Level that various nature career way much.,Beginner,3,2025-08-18,2025-10-15,21
43,Data Engineering Pipelines #43,Lead see theory itself policy move training loss. Source kind hand employee field. Model serve carry. Light across two water local.,Intermediate,3,2024-12-21,2025-02-21,20
44,Cloud Fundamentals #44,Something others someone nature country think.,Intermediate,4,2023-03-19,2023-04-21,5
45,Introduction to SQL #45,Economic resource position stock determine bad. Dream share travel space range expect sea speak. Could attention carry book lay laugh.,Intermediate,5,2023-07-04,2023-09-11,24
46,Docker & Containers #46,Could affect anyone movement control bill especially. Road do character management game find. Your less social form such weight argue. Author like court success stage stock.,Advanced,4,2023-03-26,2023-05-23,39
47,Machine Learning Basics #47,His window east yes current. Miss word list race.,Advanced,4,2025-09-01,2025-11-02,37
48,Cloud Fundamentals #48,City rock seat near business loss. Cup thought tell design both.,Beginner,3,2024-12-04,2025-02-17,10
49,Web Development with Flask #49,Address some once how during why. Situation little other he become citizen before peace. Art green child movie blue maintain first next.,Advanced,3,2024-05-22,2024-08-05,6
50,Object-Oriented Programming #50,Run again help right economy always. Next my majority note myself food. Every story trial never attention choice fast.,Intermediate,5,2023-11-22,2024-01-14,29
51,Docker & Containers #51,Happen a point here control affect task. Draw return probably much hold model marriage necessary.,Intermediate,4,2024-11-23,2025-02-04,24
52,Linux for Developers #52,Follow political book model at. Condition all blood court. Number student price. Perhaps opportunity any determine responsibility actually TV.,Beginner,3,2024-11-06,2024-12-12,39
53,Docker & Containers #53,Life police guess sea. State some around pay more same. Back democratic mind big discuss.,Advanced,4,2024-05-31,2024-08-15,36
54,Linux for Developers #54,Cover prevent now way next. Indeed black police group learn professor third. Society nearly measure price.,Beginner,3,2023-10-17,2024-01-13,39
55,Docker & Containers #55,Kitchen good firm yard foot he share issue. Part none degree she unit effect. Language however risk work other military year.,Intermediate,3,2023-06-23,2023-08-11,23
56,Linux for Developers #56,Feel develop talk. Sign wall state.,Intermediate,3,2025-12-14,2026-01-18,36
57,Linux for Developers #57,News unit choice also green catch happen. Economic eight feel now notice design baby foot. Common stay ready office traditional organization feel.,Advanced,3,2025-01-12,2025-03-02,28
58,Linux for Developers #58,Bad argue side girl stage indicate. Thank dinner present own. Plant place approach.,Beginner,4,2024-01-29,2024-03-13,12
59,Introduction to SQL #59,Floor north force. Check purpose young wife send. Measure develop face hour car bar number.,Beginner,4,2023-07-27,2023-09-27,9
60,Object-Oriented Programming #60,Human be maybe similar candidate care nice.,Advanced,3,2024-11-20,2025-02-14,35
61,Data Engineering Pipelines #61,Present cultural pattern save east author. Food under become public interest give. General pretty show college glass start.,Beginner,4,2023-11-12,2023-12-22,40
62,Data Engineering Pipelines #62,Certainly and stand current health serious table both. Drug per challenge. Add really born late age.,Advanced,3,2025-06-15,2025-07-17,12
63,Machine Learning Basics #63,Deep national seek nature performance yeah reason. Heavy town money.,Intermediate,4,2024-08-06,2024-10-23,27
64,Object-Oriented Programming #64,Art customer recent even. Pressure across home even system process ten.,Beginner,3,2024-09-25,2024-12-15,29
65,Linux for Developers #65,Test power discuss herself with.,Beginner,5,2025-06-21,2025-08-19,31
66,Object-Oriented Programming #66,Machine others because current whom night. Always two figure.,Intermediate,5,2025-05-07,2025-06-16,19
67,Web Development with Flask #67,Season adult range green few you. Every artist election hit yourself wrong want. Difficult game hotel case role.,Advanced,4,2023-04-17,2023-06-27,13
68,Object-Oriented Programming #68,Their rather individual of interview fine painting last. Deal catch must son. Finally relate model career.,Intermediate,3,2025-11-22,2026-02-14,31
69,Introduction to SQL #69,True fish newspaper we brother fish they. She they increase.,Intermediate,3,2024-07-12,2024-09-08,8
70,Docker & Containers #70,Kitchen value thus value event. Blood continue several partner environment. Partner others discuss ago bag sister care.,Beginner,3,2024-03-30,2024-06-20,33
71,Python for Data Analysis #71,Republican hear system man case cover allow. Understand wear development. Serious at until worry term. Reach term thought into simply part station.,Intermediate,4,2023-04-20,2023-06-14,29
72,Machine Learning Basics #72,Particularly score order modern then skin. Body lead there there early Mrs worker. Newspaper might piece.,Intermediate,4,2023-06-17,2023-08-09,33
73,Linux for Developers #73,Fact huge fight still leave.,Beginner,3,2024-11-17,2025-02-05,15
74,Python for Data Analysis #74,Party approach might central stop. Bed may conference one thus national hotel. Late condition opportunity Republican dark lawyer.,Beginner,4,2025-08-25,2025-11-07,10
75,Cloud Fundamentals #75,Reality trade someone responsibility but box. Plant be religious risk window partner civil.,Advanced,4,2023-01-11,2023-04-08,9
76,Data Visualization with Python #76,Analysis color friend the television class. Condition Republican information finally. Eye Congress together whether about she activity.,Beginner,3,2023-11-03,2024-01-07,6
77,Docker & Containers #77,Myself accept third down open little improve. Over according think everything. Newspaper stay any challenge president already take project.,Advanced,3,2024-08-13,2024-09-27,39
78,Python for Data Analysis #78,Former because board year claim. Particularly reality organization skin concern. See growth along shoulder follow today star. Successful assume likely business teacher forget.,Beginner,3,2025-05-09,2025-07-18,20
79,Introduction to SQL #79,Decide decade around number without more because. Value worry expert participant first moment yet government. Pass market role marriage.,Intermediate,3,2025-10-20,2025-12-27,40
80,Object-Oriented Programming #80,Discussion fact cover brother let someone scene debate. Yourself increase free night point action cut example.,Beginner,5,2024-05-10,2024-07-24,35
81,Docker & Containers #81,Feel nearly short box four. Right pattern ahead compare form full.,Intermediate,3,2024-12-23,2025-02-06,10
82,Web Development with Flask #82,Something population loss physical throughout Mr friend. Until argue minute north question new. Decade rate son.,Intermediate,5,2023-06-25,2023-08-27,37
83,Object-Oriented Programming #83,Wide exactly all worker. Move coach paper cost bring site final tax. Even beautiful theory.,Beginner,5,2025-11-05,2026-01-24,24
84,Python for Data Analysis #84,Stop few modern company hear also dark. Kitchen agent lot matter. Future low them financial force.,Advanced,4,2025-08-20,2025-09-21,33
85,Data Visualization with Python #85,Quality car right least require mission about. Reach organization beautiful.,Intermediate,5,2023-02-03,2023-03-27,25
86,Machine Learning Basics #86,Billion she seat. Officer fine throughout. Customer expert mother significant provide evening.,Intermediate,5,2023-08-01,2023-10-19,5
87,Linux for Developers #87,Boy when nice bill my. Five center region exist each author party.,Advanced,3,2023-04-01,2023-05-23,38
88,Web Development with Flask #88,Kitchen candidate likely push black approach interview. Relate through picture real. Pattern fine stage require provide move wind.,Intermediate,5,2025-08-09,2025-10-22,35
89,Web Development with Flask #89,Capital spend turn life lay range report. Like water century time election guy contain. Small think law air little goal.,Advanced,3,2023-05-10,2023-07-24,31
90,Data Visualization with Python #90,Executive give offer meet. Stage someone for power society mouth. Opportunity draw during city lot at.,Beginner,3,2023-03-31,2023-06-19,30
91,Linux for Developers #91,Issue woman note garden reason community prove school. Student boy other foot best knowledge final.,Beginner,4,2025-11-21,2026-01-15,13
92,Data Visualization with Python #92,Our rate others star. Management produce bed stage thought tough. Serious produce laugh.,Intermediate,3,2024-01-27,2024-03-15,35
93,Linux for Developers #93,Past language day theory feel some. Truth view response trip wrong.,Beginner,4,2023-09-12,2023-12-02,23
94,Docker & Containers #94,Particularly member summer. Artist too whose a nice. Body executive all it opportunity personal. Image itself deep community cause new.,Intermediate,5,2025-06-19,2025-09-14,24
95,Web Development with Flask #95,Child young prove care author administration. Price window career case south team throw. Us perhaps lawyer interest star his difficult interesting.,Intermediate,4,2025-10-15,2025-12-07,25
96,Introduction to SQL #96,Marriage room Republican especially unit office almost.,Intermediate,5,2025-05-19,2025-06-23,34
97,Web Development with Flask #97,Low happy oil which bag room money.,Advanced,5,2024-08-24,2024-10-13,28
98,Linux for Developers #98,Might model particular early piece professional protect. Something fine apply gas sing light mention.,Beginner,5,2024-08-28,2024-10-16,7
99,Docker & Containers #99,Safe inside whether sometimes eye along type. Risk nor article list college. Prevent factor say.,Advanced,3,2025-06-28,2025-08-19,29
100,Linux for Developers #100,Machine camera baby six edge.,Beginner,5,2025-06-09,2025-07-26,29
101,Docker & Containers #101,Every either scientist page travel. Process have compare site. Machine son television garden base. Other start study sell.,Beginner,4,2025-11-16,2026-02-05,4
102,Web Development with Flask #102,Draw key point decision same generation. Sense break cold human feeling. Do raise hope enjoy most itself eye.,Beginner,5,2025-06-16,2025-07-18,11
103,Machine Learning Basics #103,Question which raise American truth PM. Particular present evening establish sort effort. Hospital significant see same open crime front real.,Beginner,5,2025-01-20,2025-03-14,9
104,Python for Data Analysis #104,Natural pull story activity best billion. Goal rise edge alone people arm order.,Advanced,5,2023-11-11,2024-01-23,25
105,Linux for Developers #105,Point remain build task candidate prevent tonight not. To receive education level.,Intermediate,4,2023-06-07,2023-08-12,29
106,Linux for Developers #106,Two everybody interview tough show food class. Everyone artist home you.,Advanced,4,2024-10-05,2024-12-15,9
107,Introduction to SQL #107,Concern attorney woman customer hotel. Board music issue pass blood kid else.,Beginner,3,2024-01-17,2024-03-18,18
108,Object-Oriented Programming #108,Audience road since affect.,Intermediate,3,2024-06-20,2024-09-07,34
109,Cloud Fundamentals #109,Present a also hospital. Record toward off middle. Long identify road speech audience difficult his.,Advanced,3,2024-08-07,2024-10-20,17
110,Introduction to SQL #110,Note various grow radio. Area young positive half table future. Set face data never whose produce federal.,Beginner,3,2023-06-01,2023-07-29,32
111,Cloud Fundamentals #111,Piece grow be plan. Cause cover rest or majority. Society poor matter who.,Advanced,3,2024-10-16,2024-12-27,12
112,Introduction to SQL #112,Already argue skin. If deep president. Learn question them chance often under already.,Advanced,5,2024-08-17,2024-11-12,23
113,Web Development with Flask #113,President likely truth animal red candidate common. Toward star best.,Beginner,4,2025-11-07,2025-12-21,20
114,Web Development with Flask #114,Structure ask stage box. Sometimes determine source international specific word question food. National focus who degree animal community as. Center indeed recent network just.,Beginner,3,2025-10-08,2025-11-08,8
115,Data Engineering Pipelines #115,Card social place. Sing administration main according conference become. Thought indicate southern significant realize deal policy mission. Dream company reality other response partner.,Advanced,4,2025-08-15,2025-11-04,24
116,Data Engineering Pipelines #116,Step feeling industry newspaper court worry with peace. Medical less phone decade apply both chance.,Beginner,3,2023-05-15,2023-07-03,36
117,Cloud Fundamentals #117,Computer prove amount population expect itself free. Analysis science understand compare size machine break. Return or for cup quality.,Advanced,5,2025-04-21,2025-07-09,26
118,Introduction to SQL #118,Single for better scene thank. Through available one approach job democratic. Lawyer hold carry rest place wish dark camera.,Advanced,3,2024-10-11,2024-12-21,27
119,Cloud Fundamentals #119,Exactly book letter industry. Detail far church some well town. Wife talk beat tax majority yet option.,Intermediate,5,2025-11-25,2026-01-16,5
120,Data Engineering Pipelines #120,Address into their easy its. Through option chance off above. Always likely shoulder.,Advanced,3,2023-09-22,2023-11-18,9
